Fac,B_A,Date,MAE,OBR,Care Level
D5,Before,Feb-16,2,981,Dementia
D5,Before,Mar-16,2,1203,Dementia
D5,Before,Apr-16,1,1173,Dementia
D5,Before,May-16,2,1190,Dementia
D5,Before,Jun-16,4,1187,Dementia
D5,Before,Jul-16,2,1205,Dementia
D5,Before,Aug-16,0,1188,Dementia
D5,Before,Sep-16,0,1192,Dementia
D5,Before,Oct-16,2,1221,Dementia
D5,Before,Nov-16,1,1193,Dementia
D5,Before,Dec-16,5,1207,Dementia
D5,Before,Jan-17,3,1172,Dementia
D5,Before,Feb-17,6,1063,Dementia
D5,Before,Mar-17,0,1129,Dementia
D5,Before,Apr-17,5,1104,Dementia
D5,Before,May-17,7,1139,Dementia
D5,Before,Jun-17,2,1120,Dementia
D5,Before,Jul-17,3,1195,Dementia
D5,Before,Aug-17,2,1205,Dementia
D5,After,Dec-17,3,1228,Dementia
D5,After,Jan-18,3,1234,Dementia
D5,After,Feb-18,4,1068,Dementia
D5,After,Mar-18,0,1213,Dementia
D5,After,Apr-18,1,1181,Dementia
D5,After,May-18,0,1198,Dementia
D5,After,Jun-18,2,1212,Dementia
D5,After,Jul-18,4,1223,Dementia
D5,After,Aug-18,5,1232,Dementia
D5,After,Sep-18,2,1224,Dementia
D5,After,Oct-18,1,1208,Dementia
D5,After,Nov-18,2,1125,Dementia
D5,After,Dec-18,0,1204,Dementia
D6,Before,Jan-16,1,1175,Dementia
D6,Before,Feb-16,1,1155,Dementia
D6,Before,Mar-16,0,1230,Dementia
D6,Before,Apr-16,2,1195,Dementia
D6,Before,May-16,0,1267,Dementia
D6,Before,Jun-16,0,1184,Dementia
D6,Before,Jul-16,0,1267,Dementia
D6,Before,Aug-16,1,1209,Dementia
D6,Before,Sep-16,0,1195,Dementia
D6,Before,Oct-16,0,1041,Dementia
D6,Before,Nov-16,0,1200,Dementia
D6,Before,Dec-16,1,1002,Dementia
D6,Before,Jan-17,0,932,Dementia
D6,Before,Feb-17,0,961,Dementia
D6,Before,Mar-17,1,1135,Dementia
D6,Before,Apr-17,2,1186,Dementia
D6,Before,May-17,1,1230,Dementia
D6,Before,Jun-17,0,1070,Dementia
D6,Before,Jul-17,0,1290,Dementia
D6,Before,Aug-17,0,1243,Dementia
D6,Before,Sep-17,0,1216,Dementia
D6,After,Jan-18,0,1268,Dementia
D6,After,Feb-18,0,1176,Dementia
D6,After,Mar-18,2,1251,Dementia
D6,After,Apr-18,2,1228,Dementia
D6,After,May-18,0,1268,Dementia
D6,After,Jun-18,1,1265,Dementia
D6,After,Jul-18,1,1255,Dementia
D6,After,Aug-18,1,1256,Dementia
D6,After,Sep-18,2,1148,Dementia
D6,After,Oct-18,0,1271,Dementia
D6,After,Nov-18,1,1264,Dementia
D6,After,Dec-18,2,1260,Dementia
R1,Before,Jan-16,2,1489,Rest Home 
R1,Before,Feb-16,2,1379,Rest Home 
R1,Before,Mar-16,2,1331,Rest Home 
R1,Before,Apr-16,0,1416,Rest Home 
R1,Before,May-16,1,1452,Rest Home 
R1,Before,Jun-16,2,1541,Rest Home 
R1,Before,Jul-16,1,1340,Rest Home 
R1,Before,Aug-16,5,1413,Rest Home 
R1,Before,Sep-16,0,1467,Rest Home 
R1,Before,Oct-16,0,1533,Rest Home 
R1,Before,Nov-16,0,1343,Rest Home 
R1,Before,Dec-16,0,1583,Rest Home 
R1,Before,Jan-17,0,1598,Rest Home 
R1,Before,Feb-17,1,1429,Rest Home 
R1,Before,Mar-17,0,1529,Rest Home 
R1,Before,Apr-17,0,1570,Rest Home 
R1,Before,May-17,2,1558,Rest Home 
R1,Before,Jun-17,1,1538,Rest Home 
R1,After,Oct-17,0,1634,Rest Home 
R1,After,Nov-17,2,1577,Rest Home 
R1,After,Dec-47,1,1594,Rest Home 
R1,After,Jan-18,2,1475,Rest Home 
R1,After,Feb-18,1,1460,Rest Home 
R1,After,Mar-18,1,1640,Rest Home 
R1,After,Apr-18,1,1537,Rest Home 
R1,After,May-18,0,1519,Rest Home 
R1,After,Jun-18,1,1452,Rest Home 
R1,After,Jul-18,0,1591,Rest Home 
R1,After,Aug-18,0,1433,Rest Home 
R1,After,Sep-18,0,1387,Rest Home 
R1,After,Oct-18,0,1636,Rest Home 
